campaign,zone,production_label,specie,production,yield_value,yield_unit
2023,23,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2024,23,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"40,0",quintal_per_hectare
2025,23,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2021,24,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0",quintal_per_hectare
2022,24,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2023,24,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2024,24,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2025,24,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2021,25,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2022,25,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2023,25,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0",quintal_per_hectare
2024,25,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2025,25,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2021,26,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0",quintal_per_hectare
2022,26,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"48,0",quintal_per_hectare
2023,26,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2024,26,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2025,26,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2021,27,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0",quintal_per_hectare
2022,27,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"88,0",quintal_per_hectare
2023,27,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"88,0",quintal_per_hectare
2024,27,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"74,0",quintal_per_hectare
2025,27,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"81,0",quintal_per_hectare
2021,28,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0",quintal_per_hectare
2022,28,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0",quintal_per_hectare
2023,28,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"81,0",quintal_per_hectare
2024,28,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2025,28,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"78,0",quintal_per_hectare
2021,29,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,9",quintal_per_hectare
2022,29,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,6",quintal_per_hectare
2023,29,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,7",quintal_per_hectare
2024,29,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"64,5",quintal_per_hectare
2025,29,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,1",quintal_per_hectare
2021,30,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"41,0",quintal_per_hectare
2022,30,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"42,0",quintal_per_hectare
2023,30,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"36,0",quintal_per_hectare
2024,30,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"49,0",quintal_per_hectare
2025,30,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"41,0",quintal_per_hectare
2021,31,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2022,31,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2023,31,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2024,31,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0",quintal_per_hectare
2025,31,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,0",quintal_per_hectare
2021,32,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,0",quintal_per_hectare
2022,32,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2023,32,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"54,0",quintal_per_hectare
2024,32,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,0",quintal_per_hectare
2025,32,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2021,33,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2022,33,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"48,0",quintal_per_hectare
2023,33,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"64,0",quintal_per_hectare
2024,33,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"48,0",quintal_per_hectare
2025,33,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0",quintal_per_hectare
2021,34,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"32,0",quintal_per_hectare
2022,34,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"35,0",quintal_per_hectare
2023,34,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"25,0",quintal_per_hectare
2024,34,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"43,0",quintal_per_hectare
2025,34,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2021,35,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"74,9",quintal_per_hectare
2022,35,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,9",quintal_per_hectare
2023,35,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,3",quintal_per_hectare
2024,35,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,7",quintal_per_hectare
2025,35,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,9",quintal_per_hectare
2021,36,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,0",quintal_per_hectare
2022,36,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0",quintal_per_hectare
2023,36,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
