started_on,campaign,zone,production_label,specie,waiting_price,final_price,price_unit,product_output_specie
01/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"232,79",ton,grain
02/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"232,79",ton,grain
03/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"230,79",ton,grain
06/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"231,29",ton,grain
07/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"230,79",ton,grain
08/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"227,79",ton,grain
09/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"227,79",ton,grain
10/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"225,79",ton,grain
13/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"223,79",ton,grain
14/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"228,79",ton,grain
15/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
16/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
17/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"228,79",ton,grain
20/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"229,54",ton,grain
21/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"229,79",ton,grain
22/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"235,79",ton,grain
23/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"233,79",ton,grain
24/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"234,79",ton,grain
27/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"238,29",ton,grain
28/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"241,29",ton,grain
29/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"244,29",ton,grain
30/09/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
01/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"252,72",ton,grain
04/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"251,72",ton,grain
05/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"251,72",ton,grain
06/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"256,72",ton,grain
07/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"258,72",ton,grain
08/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
11/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
12/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"265,22",ton,grain
13/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
14/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"246,72",ton,grain
15/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
18/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"261,72",ton,grain
19/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
20/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
21/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
22/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"254,72",ton,grain
25/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
26/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
27/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"257,72",ton,grain
28/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
29/10/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"251,72",ton,grain
02/11/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"0,00",ton,grain
03/11/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"251,72",ton,grain
04/11/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"253,72",ton,grain
05/11/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"247,72",ton,grain
08/11/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"245,72",ton,grain
09/11/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"243,72",ton,grain
