department,production_label,specie,production,2021,2022,2023,2024,yield_unit
42,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0","44,0","55,0","52,0",quintal_per_hectare
43,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0","33,0","54,0","50,0",quintal_per_hectare
63,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,5","54,0","66,0","62,0",quintal_per_hectare
69,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,0","55,0","66,0","60,0",quintal_per_hectare
73,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0","59,0","62,0","56,0",quintal_per_hectare
74,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0","62,0","60,0","57,0",quintal_per_hectare
04,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,6","27,9","30,1","41,1",quintal_per_hectare
05,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"43,8","26,7","29,7","42,1",quintal_per_hectare
06,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"20,0","21,0","25,1","29,5",quintal_per_hectare
13,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"40,2","30,8","26,2","45,7",quintal_per_hectare
83,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"42,8","24,6","26,1","39,7",quintal_per_hectare
84,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"35,5","20,5","22,4","30,9",quintal_per_hectare
2A,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0","65,0","40,0","45,0",quintal_per_hectare
2B,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0","65,0","40,0","45,0",quintal_per_hectare
77,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"64,0","68,0","64,0","55,0",quintal_per_hectare
78,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"68,0","71,0","64,0","55,0",quintal_per_hectare
91,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"70,0","74,0","70,0","60,0",quintal_per_hectare
95,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"65,0","70,0","0,0","0,0",quintal_per_hectare
18,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"54,0","52,0","56,0","45,0",quintal_per_hectare
28,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"64,0","73,0","72,0","56,0",quintal_per_hectare
36,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"50,0","50,0","56,0","44,0",quintal_per_hectare
37,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,0","51,0","60,0","45,0",quintal_per_hectare
41,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,0","64,0","63,0","49,0",quintal_per_hectare
45,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"68,0","70,0","68,0","53,0",quintal_per_hectare
21,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","38,0","56,0","38,0",quintal_per_hectare
25,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"42,0","31,0","49,0","29,0",quintal_per_hectare
39,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,0","31,0","35,0","29,0",quintal_per_hectare
58,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"49,0","38,0","56,0","38,0",quintal_per_hectare
70,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"42,0","31,0","35,0","29,0",quintal_per_hectare
71,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"51,0","38,0","56,0","38,0",quintal_per_hectare
89,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","38,0","56,0","38,0",quintal_per_hectare
90,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"34,0","31,0","0,0","0,0",quintal_per_hectare
14,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"52,0","58,0","54,0","51,0",quintal_per_hectare
27,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"54,0","58,0","55,0","49,0",quintal_per_hectare
61,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"51,0","56,0","59,0","44,0",quintal_per_hectare
76,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"45,0","56,0","52,0","44,0",quintal_per_hectare
02,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"57,0","60,5","58,5","59,9",quintal_per_hectare
59,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"62,0","62,1","62,0","62,2",quintal_per_hectare
60,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"62,0","62,2","61,0","61,5",quintal_per_hectare
62,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"62,0","61,9","62,0","61,9",quintal_per_hectare
80,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"63,0","62,8","62,0","62,6",quintal_per_hectare
08,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"30,0","40,0","52,0","35,0",quintal_per_hectare
10,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"30,0","40,0","56,0","86,7",quintal_per_hectare
51,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"40,0","40,0","54,0","33,5",quintal_per_hectare
52,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"20,0","40,0","44,0","39,6",quintal_per_hectare
54,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"0,0","0,0","55,0","44,0",quintal_per_hectare
55,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"0,0","0,0","55,0","40,0",quintal_per_hectare
67,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,0","60,0","70,0","65,0",quintal_per_hectare
68,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,0","60,0","65,0","65,0",quintal_per_hectare
44,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,7","61,0","69,0","53,0",quintal_per_hectare
49,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"58,0","52,0","69,0","53,0",quintal_per_hectare
53,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"58,7","57,0","66,0","52,0",quintal_per_hectare
72,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,0","55,0","67,0","52,0",quintal_per_hectare
85,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"64,0","67,6","73,0","57,0",quintal_per_hectare
