category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Travail du sol superficiel,,"Pulvériseur 4,80 m 44 disques repliage hydraulique",51570.0,200,64.9,300,45.3,400,35.6,2.5,
Travail du sol superficiel,,"Pulvériseur 5,80 m 52 disques repliage hydraulique",59640.0,250,72.6,350,54.0,450,43.7,3.0,
Travail du sol superficiel,,"Pulvériseur 6,20 m 56 disques repliage hydraulique",65020.0,300,77.7,400,60.5,500,50.1,3.5,
Travail du sol superficiel,,Pulvériseur 7 m 64 disques repliage hydraulique Rouleaux,66490.0,400,74.0,500,61.3,600,52.8,4.2,
Travail du sol superficiel,,Cultipacker 3 m simple avec palier central et rouleaux décalés BARÈME D’ENTRAIDE - HORIZONS - 2026 u 15,2380.0,80,6.0,120,4.2,150,3.5,2.0,
Travail du sol superficiel,,Outils de travail du sol superficiel Croskill 4 m simple,4900.0,80,11.7,120,8.0,150,6.5,2.0,
Travail du sol superficiel,,Croskillette 4 m double,3910.0,80,9.7,120,6.7,150,5.5,2.0,
Travail du sol superficiel,,Rouleau Cambridge 6 m repliage hydraulique,10080.0,80,36.5,120,25.0,150,20.4,3.0,
Travail du sol superficiel,,Rouleau Cambridge 8 m repliage hydraulique,12490.0,100,48.2,150,33.1,200,25.5,4.0,
Travail du sol superficiel,,"Rouleau Cambridge 9,50 m repliage hydraulique Lame niveleuse + équipements divers",27650.0,125,104.1,175,75.3,225,59.4,5.0,
Travail du sol superficiel,,Rouleau Cambridge 10 m simple repliage hydraulique,15760.0,150,51.3,200,39.3,250,32.2,5.0,
Travail du sol superficiel,,"Rouleau Crosskill 10 m Haut de gamme, planche niveleuse repliage hydraulique",23890.0,150,75.9,200,57.8,250,46.9,5.0,
Travail du sol superficiel,,Rouleau Spire 4 m repliage hydraulique,9950.0,125,19.8,150,16.8,175,14.7,2.5,
Travail du sol superficiel,,Rouleau Spire 6 m repliage hydraulique Rouleaux destructeurs ou écraseurs de couverts végétaux,11950.0,150,27.8,175,24.2,225,19.4,3.5,
Travail du sol superficiel,,"Rouleau destructeur frontal 3 m Rouleau simple, utilisable avec semoir arrière",3420.0,50,13.2,75,9.1,100,7.0,2.0,
Travail du sol superficiel,,Rouleau destructeur 3 m Rouleau simple Entrée de gamme,4130.0,50,15.8,75,10.8,100,8.3,2.0,
Travail du sol superficiel,,Rouleau destructeur 3 m Rouleaux doubles,9430.0,80,22.6,115,16.1,150,12.6,2.0,
Travail du sol superficiel,,Rouleau destructeur 6 m Rouleaux simples,15230.0,100,57.8,175,34.1,250,24.6,4.0,
Travail du sol superficiel,,Rouleau destructeur 6 m Rouleaux doubles,19740.0,100,74.2,175,43.4,250,31.1,4.0,
Travail du sol superficiel,,Rouleau destructeur 6 m Rouleaux doubles Haut de gamme Cultivateurs rotatifs animés à axe horizontal,27730.0,100,103.3,175,60.0,250,42.7,4.0,
Travail du sol superficiel,,"Cultivateur rotatif 1,60 m type « rotovator », lame équerre, patins",2420.0,20,5.1,30,3.9,40,3.3,0.3,
Travail du sol superficiel,,"Cultivateur rotatif 2 m type « Rotovator », lame équerre, patins (100 ch maxi)",7650.0,40,12.2,60,8.9,80,7.3,0.5,
Travail du sol superficiel,,"Cultivateur rotatif 3 m type « Rotovator », lame équerre, patins u",12370.0,60,20.7,80,16.5,100,13.9,0.8,
Travail du sol superficiel,,"Outils de travail du sol superficiel Cultivateur rotatif 3 m à pointes, rouleau packer attelage semoir inclus",16690.0,80,34.3,100,28.6,120,24.9,1.0,
Travail du sol superficiel,,"Cultivateur rotatif 4 m à pointes, rouleau packer Herses rotatives",26380.0,100,64.2,150,46.3,200,37.3,1.5,
Travail du sol superficiel,,"Herse rotative 2,50 m, rouleau packer, pour maraîchage",11950.0,30,42.3,45,29.3,60,22.8,0.8,
Travail du sol superficiel,,Herse rotative 3 m rouleau packer,20000.0,80,41.6,100,34.2,120,29.3,1.2,
Travail du sol superficiel,,"Herse rotative 3,5 m rouleau packer Haut de gamme",20030.0,80,41.7,100,34.3,120,29.4,1.2,
Travail du sol superficiel,,"Herse rotative 3,5 m rouleau packer de 450 mm",26000.0,100,53.9,125,44.3,150,37.9,1.5,
Travail du sol superficiel,,Herse rotative 4 m rouleau packer de 450 mm,29000.0,100,67.3,150,47.1,200,37.0,1.7,
Travail du sol superficiel,,"Herse rotative 4 m, Haut de gamme, Boitier 300 ch",31810.0,100,77.5,150,54.0,200,42.3,1.8,
Travail du sol superficiel,,"Herse rotative 4,50 m rouleau packer repliable",41240.0,150,75.5,200,58.6,250,48.5,2.0,
Travail du sol superficiel,,Herse rotative 6 m rouleau packer repliable Boîtier 250 ch pour herse rotative Le prix indiqué n’est pas le prix réel du boîtier mais le supplément nécessaire pour remplacer le boîtier « classique ».,44180.0,300,66.2,400,52.7,500,44.5,3.0,
Travail du sol superficiel,,Boîtier 250 ch pour HR 3 m,3330.0,80,7.8,100,6.2,120,5.2,1.5,
Travail du sol superficiel,,"Boîtier 250 ch pour HR 4 m Équipements arrière spécifiques pour outils otatifs Les herses ci-dessus étant équipées de série avec des rouleaux packer, si le matériel est équipé d’un autre type de rouleau, il faut ajuster le coût avec le différentiel entre les deux types de rouleaux. Portacourt non intégré 200 1,9 Équipement 3 mètres Diamètre 535 / 550 mm de type standard BARÈME D’ENTRAIDE - HORIZONS - 2026 u 17",4080.0,100,10.1,150,6.8,200,5.1,2.0,
Semis,,Semoirs céréales solo à distribution volumétrique et à socs Semoir mécanique Semoir 3 m Cannelures ou ergots gravitaire et à socs,14500.0,80,24.6,100,20.0,120,16.9,1.4,
