category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Désherbage mécanique et alternatif,,Outils de désherbage mécanique et alternatif Performance ha/h à moduler en fonction de la culture et de son état végétatif. Herses de reprise sur culture Herse-étrille 6 m portée repliage hydraulique,8000.0,80,30.9,100,25.4,120,21.8,3.0,
Désherbage mécanique et alternatif,,Herse-étrille 9 m portée repliage hydraulique,10000.0,125,46.6,150,39.9,175,35.2,5.5,
Désherbage mécanique et alternatif,,"Herse-étrille 9 m, haut de gamme, roues av/ar, réglage agressivité centralisée,",26980.0,150,105.3,175,91.3,200,80.8,6.0,
Désherbage mécanique et alternatif,,Herse-étrille 12 m simple portée repliage hydraulique,25000.0,150,130.8,200,100.5,250,82.3,8.0,
Désherbage mécanique et alternatif,,"Herse-étrille 12 m, haut de gamme, réglages agressivité centralisée, repliage hydraulique",35000.0,150,201.7,200,154.0,250,125.4,9.0,
Désherbage mécanique et alternatif,,Herse-étrille 18 m simple semi-portée repliage hydraulique,41500.0,200,200.7,250,162.9,300,137.8,10.0,
Désherbage mécanique et alternatif,,Herse-étrille 24 m semi-portée repliage hydraulique,67000.0,250,306.8,300,258.1,350,223.3,12.0,
Désherbage mécanique et alternatif,,"Émousseuse, étaupineuse, portée 5 à 6 m",2770.0,60,15.3,90,11.4,120,9.4,2.5,
Désherbage mécanique et alternatif,,"Émousseuse, ébouseuse, étaupineuse, portée 5 à 6 m",8300.0,90,27.0,120,21.1,150,17.6,2.5,
Désherbage mécanique et alternatif,,"Emousseuse, régénératrice portée 5 à 6 m, type ""Güttler"" Houes rotatives et roto-étrilles",16270.0,120,38.1,150,31.2,150,31.5,2.5,check_monotony
Désherbage mécanique et alternatif,,"Houe rotative 4,50 m 2 rangs d’étoiles, porté, repliage hydraulique",12540.0,100,54.2,150,16.8,200,150.8,4.5,check_monotony
Désherbage mécanique et alternatif,,"Houe rotative 6 m 2 rangs d’étoiles, porté, repliage hydraulique",17330.0,150,71.0,225,50.0,300,39.5,6.0,
Désherbage mécanique et alternatif,,"Houe rotative 6 m + herse AR 2 rangs d’étoiles, roues pleines, porté, repliage hydraulique",28000.0,150,109.8,225,75.9,300,58.9,6.0,
Désherbage mécanique et alternatif,,"Houe rotative 9 m + herse Roto-étrille 12 m porté, repliage hydraulique",40000.0,150,221.5,200,136.4,250,110.9,7.0,
Désherbage mécanique et alternatif,,"Bineuses céréales inter-rang de 25 à 30 cm sans guidage automatique : amortissement 10 % sur 10 ans Performance ha/h à moduler en fonction de la culture et de son état végétatif. 6 m / 20-25 éléments,",30720.0,350,81.8,150,29.3,200,22.3,7.0,check_monotony
Désherbage mécanique et alternatif,,"Outils de désherbage mécanique et alternatif Bineuses céréales inter-rang de 25 à 30 cm guidage caméra inclus interface de guidage, caméra comprise",48090.0,100,80.7,150,54.5,200,41.3,1.8,
Désherbage mécanique et alternatif,,"interface de guidage, caméra comprise",70630.0,150,114.2,200,86.3,250,69.7,2.6,
Désherbage mécanique et alternatif,,"interface de guidage, caméra comprise Bineuses à dents inter-rang étroit 0,45 à 0,55 m sans équipement de guidage automatique Performance ha/h à moduler en fonction de la culture et de son état végétatif.",126020.0,150,403.0,200,303.6,250,244.1,5.2,
Désherbage mécanique et alternatif,,Frontal 6 rangs / 7 éléments,11880.0,50,26.8,70,19.4,100,13.8,1.2,
Désherbage mécanique et alternatif,,Frontal 12 rangs / 13 éléments,22000.0,100,37.3,150,25.3,200,19.3,1.8,
Désherbage mécanique et alternatif,,6 rangs / 7 éléments,13000.0,60,28.6,80,21.7,100,17.5,1.4,
Désherbage mécanique et alternatif,,8 rangs / 9 éléments,18000.0,80,38.1,100,30.7,120,25.8,1.8,
Désherbage mécanique et alternatif,,12 rangs / 13 éléments,25000.0,120,55.0,150,44.4,180,37.3,2.8,
Désherbage mécanique et alternatif,,"18 rangs / 19 éléments Bineuses à dents inter-rang large 0,60 à 0,80 m (type maïs) sans équipement de guidage",40000.0,200,94.4,250,76.2,300,64.1,5.0,
Désherbage mécanique et alternatif,,"portée arrière, repliage hydraulique",10400.0,30,39.0,100,44.2,120,37.2,1.2,check_monotony
Désherbage mécanique et alternatif,,"portée arrière, repliage hydraulique Bineuse à étoiles pour maïs : amortissement 10 % sur 10 ans Performance ha/h à moduler en fonction de la culture et de son état végétatif.",36000.0,150,102.7,200,78.2,250,63.4,4.5,
Désherbage mécanique et alternatif,,portée arrière repliable Option bineuses Ces équipements permettent d’augmenter la performance de chantier. Leur coût doit être ajouté au coût du matériel de base ci-dessus.,21530.0,150,21.7,200,16.8,250,13.8,1.5,
Désherbage mécanique et alternatif,,Relevage hydraulique automatique base 6 rangs étroits,10000.0,60,26.3,80,19.8,100,16.0,1.7,
Désherbage mécanique et alternatif,,Kit pulvérisation localisée cuve 600 l / DPAE / 2 buses rangs pour base 6 rangs large BARÈME D’ENTRAIDE - HORIZONS - 2026 u 25,8500.0,60,22.9,80,17.4,100,14.2,1.7,
Désherbage mécanique et alternatif,,"Outils de désherbage mécanique et alternatif Guidage automatique mécanique, coutre, obus",8000.0,60,24.8,80,18.8,100,15.1,2.0,
Désherbage mécanique et alternatif,,"Guidage automatique, capteurs photoélectriques pour base 6 rangs large",10430.0,60,37.2,80,28.5,100,23.3,2.2,
Désherbage mécanique et alternatif,,"Interface de guidage automatique, vidéo caméra HD",25000.0,60,109.2,80,82.6,100,66.7,2.8,
Désherbage mécanique et alternatif,,Relevage hydraulique/éléments pour base 12 rangs étroit,22000.0,150,23.2,200,17.5,250,14.1,1.7,
Désherbage mécanique et alternatif,,Doigts Kress pour base 12 rangs étroit Écimeuse,11000.0,150,19.5,200,14.8,250,12.0,2.8,
Désherbage mécanique et alternatif,,"Portée 6 m, 4 modules / 12 broyeurs, entraînement hydraulique",18580.0,50,63.3,75,43.1,100,32.9,1.8,
Désherbage mécanique et alternatif,,"Rabatteur + lames, 6 m, lames fixes, type « CombCut »",27790.0,100,120.0,150,82.1,200,63.2,4.5,
Désherbage mécanique et alternatif,,"Rotor + lames, 6 m, entraînement mécanique",20290.0,50,68.9,75,46.8,100,35.7,1.8,
Désherbage mécanique et alternatif,,"Portée 9 m,",24620.0,75,78.1,100,59.5,125,48.3,2.5,
Désherbage mécanique et alternatif,,"Portée 12-14 m,",31480.0,100,105.1,150,71.7,200,55.0,3.5,
Désherbage mécanique et alternatif,,"Traînée 12 m, coupe à double lame + rabatteurs hélicoïdaux, tapis convoyeur + trémie de récupération et vidange u",93780.0,100,309.7,200,160.4,300,110.7,3.5,
Pulvérisateurs,,pour cultures basses Pulvérisateurs portés Porté 600 l rampe 12 m P constante,6500.0,100,20.9,150,14.6,200,11.5,3.0,
Pulvérisateurs,,"Porté 1 000 l rampe 12-15 m, DPM, repliage hydraulique",18800.0,200,39.6,300,27.5,400,21.5,4.0,
Pulvérisateurs,,"Porté 1 200 l DPM rampe 18 à 21 m DPM, repliage hydraulique",23500.0,400,32.5,600,23.1,800,18.4,5.0,
Pulvérisateurs,,"Porté 1 200 l rampe 24 m DPAE, repliage hydraulique",36000.0,400,68.3,600,48.1,800,38.0,7.0,
Pulvérisateurs,,"Porté 1 500 l rampe 24 m DPAE, repliage hydraulique",40000.0,400,85.8,600,60.1,800,47.3,8.0,
Pulvérisateurs,,"Porté 1 800 l rampe 28 m DPAE, repliage hydraulique",52000.0,500,111.0,700,82.5,900,66.6,10.0,
Pulvérisateurs,,"Porté 1 800 l + cuve AV 800 l rampe 28 m DPAE, repliage hydraulique Pulvérisateurs traînés",60000.0,600,139.4,800,108.1,1000,89.3,13.0,
Pulvérisateurs,,"Trainé 2 500 l rampe 24 m, DPAE, entrée de gamme",52000.0,600,94.4,800,73.5,1000,61.0,10.0,
Pulvérisateurs,,"Traîné 2 500 l rampe 24 m DPAE, tout équipé",63000.0,600,113.5,800,88.3,1000,73.1,10.0,
Pulvérisateurs,,Traîné 3 200 l DPAE 28 m,67000.0,900,109.3,1200,86.1,1400,76.1,13.0,
Pulvérisateurs,,Traîné 3 200 lhG DPAE 28 m Haut de gamme toutes options,94000.0,900,146.9,1200,114.2,1400,100.2,13.0,
Pulvérisateurs,,Traîné 4 000 l rampe alu 32 à 36 m DPAE,78000.0,1400,105.7,1900,83.2,2500,68.0,16.0,
Pulvérisateurs,,"Traîné 4 000 lhG rampe alu 32 à 36 m DPAE, haut de gamme toutes options",140000.0,1400,173.9,1900,133.4,2500,106.2,16.0,
Pulvérisateurs,,Traîné 5 200 l rampe alu 36 m DPAE,150000.0,1900,176.9,3500,107.5,5000,82.7,20.0,
Pulvérisateurs,,"Traîné 5 200 lhG rampe alu 36 m DPAE, haut de gamme toutes options* Pulvérisateurs pour traitement localisé par rampe",162000.0,1900,236.3,3500,142.6,5000,109.2,25.0,
Pulvérisateurs,,"Pulvé 1000 l, 8 rangs, rampe localisé AR, DPAE, bac incorporateur, cuve rinçage",24450.0,100,78.6,150,53.7,200,41.2,3.0,
Pulvérisateurs,,"Pulvé 1 200 l, 16 rangs, rampe localisé AR, DPAE, bac incorporateur, cuve rinçage",29620.0,150,85.6,200,65.5,250,53.4,4.0,
Pulvérisateurs,,"Pulvé 1 200 l, 16 rangs, rampe localisé frontale, DPAE, bac incorporateur, cuve rinçage BARÈME D’ENTRAIDE - HORIZONS - 2026 u 27",32170.0,150,92.5,200,70.7,250,57.5,4.0,
Pulvérisateurs,,"Équipement optionnel sur pulvé Coupures tronçon avec GPS Rampe frontale 75 33,6 Coupure buse par buse sur rampe de 28 m Version 2 buses et circulation continue Porte-buse à sélection automatique sur rampe de 24 m Version 4 buses et circulation continue Version 4 buses sans circulation continue Pulvérisateurs automoteurs Prix Performance Machine travail annuel Ch ISO ha / h ha / an SANS AVEC SANS AVEC carburant carburant carburant carburant Pulvérisateurs légers dits rapides",,11800,2.5,1500,277291.0,202000,215229.0,200.0,check_monotony
Pulvérisateurs,,"180 ch 4 RM 30 hl Cabine classe 4 rampe 28 m,",,2500,177192.0,1500,482501.0,252000,371389.0,9.6,check_monotony
Pulvérisateurs,,"équipement standard 180 ch 4RM 30 hl Cabine classe 4 rampe 36 m,",,2500,303322.0,2000,502521.0,302500,410429.0,12.9,check_monotony
Pulvérisateurs,,"autoguidage, circulation continue Pulvérisateurs suspendus de grande capacité de cuve et de rampe 200 ch, 4 RM 40 hl rampe 28 à 32 m",,3000,349368.0,2500,6889.0,253000,6283.0,12.3,check_monotony
Pulvérisateurs,,"équipement standard 220 ch, 4 RM 50 hl rampe 36 m",,3500,5980.0,3500,452475.0,404000,402425.0,3.2,check_monotony
Pulvérisateurs,,"équipement standard 250 ch, 4 RM 50 hl Cabine classe 4 rampe 36 m",,4500,364387.0,5000,361387.0,406000,310336.0,9.7,check_magnitude
Pulvérisateurs,,"tout équipé 250 ch, 4 RM 50 hl Cabine cl.4 rampe 36 m",,7000,274300.0,5000,383409.0,406000,329355.0,7.5,check_monotony
Pulvérisateurs,,"tt équipt. + voie variable 250 ch, 4 RM 50 hl Cabine avancée cl. 4 rampe",,7000,290316.0,5000,439466.0,406000,376402.0,7.9,check_monotony
Épandage effluents élevage,,Effluents d’élevage Épandeurs à lisier buse simple,22420.0,200,29.9,250,24.4,300,20.7,2.0,
Épandage effluents élevage,,buse simple,23890.0,300,22.4,400,17.5,500,14.6,2.0,
Épandage effluents élevage,,bras + pneus basse pression buse simple,45210.0,400,30.9,500,25.4,600,21.7,2.0,
Épandage effluents élevage,,bras + pneus basse pression buse simple,50230.0,400,34.8,500,28.7,600,24.5,2.0,
Épandage effluents élevage,,bras + pneus basse pression buse simple,77350.0,500,43.0,600,36.6,700,32.1,2.0,
Épandage effluents élevage,,bras + pneus basse pression buse simple,91420.0,600,43.4,750,35.9,900,30.9,2.0,
Épandage effluents élevage,,"bras + pneus basse pression Triple essieux, buse simple Équipements arrière de la tonne à lisier Rampe de 3 m à enfouisseurs/labour Rampe de 4 m polyvalent à enfouisseurs/sol meuble Rampe de 4 m prairie à disques de 30 cm, écart 30 cm Rampe de 6 m prairie à injecteurs Rampe de 8 m prairie à injecteurs à disques Rampe de 7-9 m pendillards adaptable sur tonne Rampe de 12 m pendillards sortie haute en 150 BARÈME D’ENTRAIDE - HORIZONS - 2026 u 29",101210.0,700,42.5,900,34.6,1100,29.6,2.0,
Épandage effluents élevage,,"Effluents d’élevage Rampe de 15 m pendillards sortie haute en 200 Rampe de 18 m pendillards Kit devers, coupure D/G Rampe de 21 m pendillards Kit dévers, coupure D/G Rampe de 24 m pendillards Kit dévers, coupure tronçons Ensemble complet d’épandage de lisier : tonne + équipements arrière Épandeur lisier 6 m3 à 1 essieu avec buse arrière simple 6 m3 1 essieu buse simple",22420.0,200,29.9,250,24.4,300,20.7,2.0,
Épandage effluents élevage,,"Épandeur lisier 8 m3 à 1 essieu avec buse arrière simple 8 m3 1 essieu buse simple Épandeur lisier 10,5 m standard avec bras avec pneu",23890.0,300,22.4,400,17.5,500,14.6,2.0,
Épandage effluents élevage,,"basse pression avec buse arrière simple bras + pneus basse pression, buse simple",45210.0,400,30.9,500,25.4,600,21.7,2.0,
Épandage effluents élevage,,"Épandeur lisier 10,5 m3 standard + rampe de 6 m prairie Tonne 10,5 m3 standard",45210.0,400,63.4,500,52.4,600,45.0,2.0,
Épandage effluents élevage,,"Épandeur lisier 12,5 m3 standard avec essieu suiveur, bras et pneu BP avec buse arrière simple bras + pneus basse pression, buse simple Épandeur lisier 12,5 m standard + rampe à buses",50230.0,400,34.8,500,28.7,600,24.5,2.0,
Épandage effluents élevage,,12 - 14 m3 + essieu suiveur bras + pneus basse pression,50230.0,400,67.3,500,55.7,600,47.9,2.0,
Épandage effluents élevage,,"Épandeur lisier 12,5 m3 standard + rampe à pendillards Tonne 12,5 m3 standard Épandeur lisier 15,5 m standard avec essieu suiveur,",50230.0,400,60.0,500,49.2,600,42.0,2.0,
Épandage effluents élevage,,"bras et pneu BP avec buse arrière simple bras + pneus basse pression, buse simple Épandeur lisier 15,5 m standard +",77350.0,500,32.2,600,27.5,700,24.1,1.5,
Épandage effluents élevage,,"Tonne 15,5 m standard",377350.0,500,46.5,600,39.9,700,35.2,1.5,check_magnitude
Épandage effluents élevage,,"Épandeur lisier 15,5 m3 standard + rampe à pendillards Tonne 15,5 m3 standard u",77350.0,500,63.5,600,54.1,700,47.4,2.0,
Épandage effluents élevage,,"Effluents d’élevage Épandeur lisier 15,5 m3 standard + rampe à pendillards Tonne 15,5 m3 standard",77350.0,500,67.0,600,57.1,700,50.0,2.0,
Épandage effluents élevage,,"Épandeur lisier 15,5 m3 standard + rampe à pendillards Tonne 15,5 m3 standard",77350.0,500,74.3,600,63.3,700,55.4,2.0,
Épandage effluents élevage,,"Épandeur lisier 15,5 m3 standard + Rampe à pendillards Tonne 15,5 m3 standard Épandeur lisier 19 m standard avec pneu BP,",77350.0,500,82.0,600,70.0,700,61.4,2.0,
Épandage effluents élevage,,"essieu suiveur, bras bras + pneus basse pression - buse simple Épandeur lisier 19 m standard + enfouisseurs",91420.0,3600,32.5,750,26.9,900,23.2,1.5,check_monotony
Épandage effluents élevage,,Tonne 19 m3 standard,91420.0,3600,45.0,750,37.5,900,32.5,1.5,check_monotony
Épandage effluents élevage,,Épandeur lisier 19 m3 standard + rampe pendillards 15 m Tonne 19 m3 standard,91420.0,600,63.8,750,52.7,900,45.4,2.0,
Épandage effluents élevage,,Épandeur lisier 19 m3 standard + rampe pendillards 18 m Tonne 19 m3 standard,91420.0,600,70.0,750,57.8,900,49.7,2.0,
Épandage effluents élevage,,Épandeur lisier 19 m3 standard + rampe pendillards Tonne 19 m3 standard,91420.0,600,76.7,750,63.6,900,54.8,2.0,
Épandage effluents élevage,,Épandeur lisier 19 m3 standard + rampe pendillards 21 m Tonne 19 m3 standard Épandeur lisier 19 m standard + rampe pendillards 21 m,91420.0,600,75.3,750,62.2,900,53.5,2.0,
Épandage effluents élevage,,Tonne 19 m3 standard Épandeur lisier 21 m standard (triple essieu avec,91420.0,3600,82.0,750,68.0,900,58.7,2.0,check_monotony
Épandage effluents élevage,,Tonne 21 m3 standard,101210.0,3700,60.3,900,49.0,1100,41.8,2.0,check_monotony
Épandage effluents élevage,,Épandeur lisier 21 m3 standard + rampe pendillards 18 m Tonne 21 m3 standard,101210.0,700,65.7,900,53.3,1100,45.5,2.0,
Épandage effluents élevage,,Épandeur lisier 21 m3 standard + rampe pendillards 18 m Tonne 21 m3 standard,101210.0,700,69.8,900,56.5,1100,48.0,2.0,
Épandage effluents élevage,,Épandeur lisier 21 m3 standard + rampe pendillards 21 m Tonne 21 m3 standard,101210.0,700,70.4,900,57.2,1100,48.8,2.0,
Épandage effluents élevage,,Épandeur lisier 21 m3 standard + rampe pendillards 21 m Tonne 21 m3 standard BARÈME D’ENTRAIDE - HORIZONS - 2026 u 31,101210.0,700,74.5,900,60.4,1100,51.4,2.0,
Épandage effluents élevage,,Effluents d’élevage Épandeur lisier 21 m3 standard + rampe pendillards 24 m Tonne + pendillards Rampe de 24 m pendillards,101210.0,700,78.1,900,63.4,1100,54.0,2.0,
Épandage effluents élevage,,Épandeur lisier 21 m3 standard + rampe pendillards Tonne 21 m3 standard Brasseurs / mixeurs de lisier Brasseur / mixeur relevage 3 points Brasseur / mixeur relevage 3 points Brasseur / mixeur relevage 3 points Épandeurs de fumier,101210.0,700,82.1,900,66.5,1100,56.6,2.0,
Épandage effluents élevage,,Hérissons horizontaux 6 t / 8 m,318160.0,200,23.9,300,16.5,400,12.7,2.0,check_magnitude
Épandage effluents élevage,,Hérissons horizontaux 7 à 8 t / 10 m,322200.0,300,20.0,400,15.4,500,12.7,2.0,check_magnitude
Épandage effluents élevage,,Hérissons horizontaux 10 t / 12 m,325900.0,300,23.0,400,17.7,500,14.5,2.0,check_magnitude
Épandage effluents élevage,,Avec table d’épandage 10 t / 12 m,343160.0,300,57.5,400,44.2,500,36.3,3.0,check_magnitude
Épandage effluents élevage,,Épandeur 8 t / 10 m3 2 hérissons verticaux,36330.0,400,37.6,500,30.9,600,26.5,3.0,
Épandage effluents élevage,,Épandeur 12 t / 14 m3 2 hérissons verticaux,43730.0,400,45.0,550,34.1,700,27.8,3.0,
Épandage effluents élevage,,Épandeur 16 t / 18 m3 2 hérissons verticaux,47650.0,400,49.3,550,37.3,700,30.5,3.0,
Épandage effluents élevage,,"Épandeur 12 à 14 t / 16 m3 2 hérissons verticaux,",54930.0,400,56.3,550,42.5,700,34.6,3.0,
Épandage effluents élevage,,"Épandeur 13 t toutes options, 2 hérissons verticaux, 16 m3, pesée, u",75110.0,400,75.4,550,56.6,700,45.8,3.0,
Distributeurs engrais minéraux,,"Effluents d’élevage Épandeur 16 à 18 t / 20 m3 2 hérissons verticaux,",67270.0,400,68.8,550,51.9,700,42.3,3.0,
Distributeurs engrais minéraux,,"Épandeur 17 t toutes options, 2 hérissons verticaux, 20 m3, pesée, Équipement optionnel Retourneurs / Composteurs de fumier m3 de fumier frais passé 2 fois",87440.0,400,88.0,550,66.0,700,53.5,3.0,
Distributeurs engrais minéraux,,Retourneur de fumier 4 m,86330.0,15000,385.0,22000,284.0,30000,226.0,450.0,
Distributeurs engrais minéraux,,Retourneur de fumier 5 m Distributeurs d’engrais minéraux Distributeurs d'engrais par projection,112110.0,15000,534.0,22000,388.0,30000,304.0,500.0,
Distributeurs engrais minéraux,,Cuve 100 litres Monodisque Distributeur électrique,990.0,100,4.3,150,3.6,200,3.3,2.0,
Distributeurs engrais minéraux,,Cuve 600 à 800 litres Monodisque,2010.0,70,9.9,110,6.7,150,5.2,3.0,
Distributeurs engrais minéraux,,Cuve 1 200 litres Bidisques 15 à 18 m,4700.0,100,15.5,150,10.7,200,8.3,3.0,
Distributeurs engrais minéraux,,Cuve 1 800 litres Bidisques 12 à 28 m,5540.0,150,20.7,230,14.1,300,11.3,5.0,
Distributeurs engrais minéraux,,"Cuve 2 000 litres, porté Bidisques 24 à 36 m",9460.0,400,27.8,600,19.8,800,15.8,10.0,
Distributeurs engrais minéraux,,"Cuve 2 300 litres, porté DPAE 24 à 36 m",14130.0,400,39.7,600,27.7,800,21.7,10.0,
Distributeurs engrais minéraux,,"Cuve 3 200 litres, porté DPAE 24 à 36 m Pesée, bâche, déflecteur de bordures BARÈME D’ENTRAIDE - HORIZONS - 2026 u 33",19310.0,500,43.1,750,30.0,1000,23.4,10.0,
Distributeurs engrais minéraux,,"Distributeurs d’engrais minéraux Cuve 40 hl, porté DPAE, 40/48 m, pesée",24510.0,600,68.1,800,52.4,1000,43.1,15.0,
Distributeurs engrais minéraux,,"Cuve 35/40 hl, porté busCan, DPAE, 40/48 m, pesée, ajustement largeur avec GPS sans antenne",27540.0,600,75.8,800,58.2,1000,47.7,15.0,
Distributeurs engrais minéraux,,"Cuve 40/45 hl, porté Isobus, DPAE, 40 / 54 m, pesée, Toutes options",34170.0,600,92.7,800,70.9,1000,57.9,15.0,
Distributeurs engrais minéraux,,Traîné 6 à 8 t Bidisques 24 à 36 m,36390.0,750,99.0,1000,76.7,1500,54.5,18.0,
Distributeurs engrais minéraux,,"Traîné 10 t Isobus, DPAE, 18 à 54 m, pesée, sans option",53020.0,1000,107.3,1500,74.8,2000,58.6,18.0,
Distributeurs engrais minéraux,,"Traîné 10 t Isobus, DPAE, 18 à 54 m, pesée, Toutes options Distributeurs d’engrais par voie pneumatique",100150.0,1000,193.9,1500,132.5,2000,101.9,18.0,
Distributeurs engrais minéraux,,"Pneumatique porté 12 m,",10310.0,150,43.9,225,34.6,300,29.9,4.0,
Distributeurs engrais minéraux,,"Pneumatique porté 36 m, Distributeurs enfouisseurs d’engrais solide localisé",105530.0,750,220.0,1000,176.9,1250,151.0,12.0,
Distributeurs engrais minéraux,,Enfouisseur 4 rangs,20240.0,100,45.5,150,31.7,200,24.9,2.0,
Distributeurs engrais minéraux,,"Enfouisseur 6 rangs, 3 000 litres double coutre, soufflerie hydraulique, écartement 75 cm",34210.0,150,76.1,200,58.7,250,48.2,3.0,
Distributeurs engrais minéraux,,"Enfouisseur 8 rangs, coutre double, soufflerie hydrau, écart. 80 cm, pesée, roues, disques protection, Distributeurs enfouisseurs d’engrais liquide localisé",45490.0,250,84.5,325,67.3,400,56.6,4.0,
Distributeurs engrais minéraux,,"Enfouisseur liquide 6/7 rangs, cuve 1 000 litres, dents carbure, hors engrais",13700.0,100,32.2,150,22.8,200,18.2,2.0,
Distributeurs engrais minéraux,,"Enfouisseur liquide 6/7 rangs, cuve 1 000 litres, disques, hors engrais Remorques ravitailleuses d’engrais distributeur d'engrais.",17930.0,100,40.8,150,28.6,200,22.5,2.0,
Distributeurs engrais minéraux,,Ravitailleur 6 500 l,18800.0,500,43.0,750,33.9,1000,29.4,8.0,
Distributeurs engrais minéraux,,"Ravitailleur 9 000 l Vis de transfert des engrais Vis de transfert 100 3,8 Ø 20 cm 200 2,2 u",31290.0,500,61.2,750,46.0,1000,38.4,8.0,
Moissonneuses-batteuses,,"et chariot de coupe compris. Consommation spécifique en l/ch/h 0,21 Les coûts des cueilleurs maïs ou des coupes colza, tournesol ou pois Taux de charge moteur moissonneuse-batteuse 0,70 sont proposés avec les caractéristiques à la suite de ce tableau. EG = Entrée de gamme = machine simple ; MG = Milieu de gamme = machine avec quelques options comprises ; HG = Haut de gamme = machine avec de très nombreuses options comprises La machine et ses équipements Prix mance travail annuel de récolte ch ISO SANS AVEC SANS AVEC ha/h ha / an carburant carburant carburant carburant Moissonneuse avec coupe céréales + broyeur de paille, 2 RM MB < 110 ch d’occasion 4 secoueurs 110 ch 0, coupe < 370 cm",,7098,85.0,709081,73.0,11071,66.0,69.0,check_monotony
Moissonneuses-batteuses,,"MB 130 à 170 ch d’occasion 5 secoueurs EG 150 ch 1, coupe 4,05 m",,10098,120.0,12582,104.0,15072,94.0,98.0,
Moissonneuses-batteuses,,"MB 150 à 190 ch d’occasion 5 secoueurs HG 170 ch 1, coupe à 4,50 m",,12590,129.0,1515079,116.0,17571,106.0,104.0,check_monotony
Moissonneuses-batteuses,,"MB 250 à 290 ch d’occasion 5 à 6 secoueurs 270 ch 1, coupe 6 m",,12589,213.0,9517568,172.0,22556,149.0,173.0,check_monotony
Moissonneuses-batteuses,,"MB 360 / 420 ch d’occasion Non conventionnelle 420 ch 3, coupe 7,50 m à 9 m",,25079,310.0,1535061,254.0,45051,223.0,248.0,check_monotony
Moissonneuses-batteuses,,"MB 170 à 190 ch 4 ou 5 secoueurs EG 170 ch 1, coupe 4 à 5 m",,120117,171.0,2516092,140.0,20076,120.0,147.0,check_monotony
Moissonneuses-batteuses,,"MB 190 à 220 ch, 5 secoueurs EG 210 ch 1, coupe 5 à 6 m",,150115,203.0,5020090,166.0,25075,143.0,173.0,check_monotony
Moissonneuses-batteuses,,"MB 220 à 250 ch 5 secoueurs MG 235 ch 1, coupe 5,5 m à 6 m",,175112,231.0,7522591,193.0,27577,169.0,197.0,check_monotony
Moissonneuses-batteuses,,"MB 250 à 290 ch HG 5 ou 6 secoueurs + BV hydro 270 ch 1, coupe 6 m variable",,200114,263.0,9526091,218.0,32077,190.0,223.0,check_monotony
Moissonneuses-batteuses,,"MB 290 à 320 ch MG 5 ou 6 secoueurs + BV hydro 305 ch 2, coupe 6 m à 6,80 m",,230109,280.0,1530087,233.0,37074,203.0,235.0,check_monotony
Moissonneuses-batteuses,,"MB 320 à 360 ch HG 6 secoueurs, 345 ch 2, coupe 6,50 m à 7,70 m",,275104,301.0,4035085,255.0,42573,225.0,250.0,check_monotony
Moissonneuses-batteuses,,"MB 390 à 450 ch HG 6 ou 8 secoueurs, 435 ch 3, coupe 7,60 m à 9,15 m",,37092,340.0,45078,299.0,53069,270.0,276.0,
Moissonneuses-batteuses,,"MB 270 à 300 ch non conventionnelle 280 ch 2, coupe 6,50 m",,27596,299.0,7032584,267.0,37575,243.0,258.0,check_monotony
Moissonneuses-batteuses,,"MB 300 à 360 ch non conventionnelle 335 ch 2, coupe 6,50 m",,35086,265.0,5040078,243.0,45071,226.0,215.0,check_monotony
Moissonneuses-batteuses,,"MB 360 / 420 ch non conventionnelle 390 ch 3, coupe 7,50 m",,42583,318.0,1550073,287.0,57566,264.0,260.0,check_monotony
Moissonneuses-batteuses,,"MB 420 / 460 ch non conventionnelle 445 ch 3, coupe 7,5 m BARÈME D’ENTRAIDE - HORIZONS - 2026 u 35",,47582,350.0,4555074,319.0,62567,296.0,285.0,check_monotony
Moissonneuses-batteuses,,"La machine et ses équipements Prix mance travail annuel de récolte ch ISO SANS AVEC SANS AVEC ha/h ha / an carburant carburant carburant carburant MB 460 / 490 ch non conventionnelle 475 ch 3, coupe 9 m",,50083,387.0,8060072,345.0,70064,315.0,317.0,check_monotony
Moissonneuses-batteuses,,"MB 490 / 530 ch non conventionnelle 515 ch 4, coupe 10,50 m",,60079,416.0,3070071,379.0,80064,351.0,340.0,check_monotony
Moissonneuses-batteuses,,"MB > 530 ch non conventionnelle 540 ch 4, coupe 10,50 m à 12 m",,65085,470.0,6077574,421.0,90067,386.0,391.0,check_monotony
Moissonneuses-batteuses,,"MB 420 / 460 ch non conventionnelle 441 ch 3, coupe 7,5 m à 9 m",,57576,328.0,4565070,305.0,72864,285.0,264.0,check_monotony
Moissonneuses-batteuses,,"MB 460 / 490 ch non conventionnelle 472 ch 3, coupe 9 m",,60076,356.0,8070067,325.0,80061,301.0,287.0,check_monotony
Moissonneuses-batteuses,,"MB 490 / 530 ch non conventionnelle 523 ch 4, coupe 10,50 m Options chenilles amovibles Équipement optionnel sur une base de montage sur moissonneuse-batteuse uniquement et base de 150 ha/an. Cueilleurs et coupe pour moissonneuse-batteuse Les coûts de ces équipements sont à rajouter à ceux des machines ci-dessus",,70076,406.0,3080069,375.0,90064,351.0,329.0,check_monotony
