reference_name,fra,eng,category,nature,specie
parsley_crop,Culture de Persil,Parsley crop,short_cycle_crop,crop,petroselinum_crispum
parsnip_crop,Culture de Panais,Parsnip crop,short_cycle_crop,gardening_crop,pastinaca_sativa
pea_crop,Culture de Pois,Pea crop,short_cycle_crop,proteaginous_crop,pisum_sativum
peach_crop,Culture de Pêcher,Peach crop,perennial_crop,fruit_crop,prunus_persica
peanut_crop,Culture d'Arachide,Peanut crop,short_cycle_crop,fruit_crop,arachis_hypogaea
pear_crop,Culture de Poirier,Pear crop,perennial_crop,fruit_crop,pyrus_communis
pepper_crop,Culture de Poivron,Pepper crop,short_cycle_crop,gardening_crop,capsicum_annuum
persimmon_crop,Culture de Plaqueminier,Persimmon crop,perennial_crop,fruit_crop,diospyros_kaki
phacelia_crop,Culture de Phacélie,Phacelia crop,perennial_crop,meadow,phacelia
phalaris_crop,Culture de Céréale de genre Phalaris,Phalaris crop,short_cycle_crop,cereal_crop,phalaris
pickle_crop,Culture de Cornichon,Pickle crop,short_cycle_crop,gardening_crop,cucumis_sativus
pineapple_crop,Culture d'Ananas,Pineapple crop,perennial_crop,fruit_crop,ananas_comosus
pistachio_crop,Culture de Pistachier,Pistachio crop,perennial_crop,fruit_crop,pistacia_vera
plum_crop,Culture de Prunier,Plum crop,perennial_crop,fruit_crop,prunus_domestica
pop_corn_crop,Culture de Maïs popcorn,Pop corn crop,short_cycle_crop,cereal_crop,zea_mays_everta
potato_crop,Culture de Pomme de terre,Potato crop,short_cycle_crop,gardening_crop,solanum_tuberosum
primula_crop,Culture de Primevère,Primula crop,short_cycle_crop,horticultural_crop,primula
proteaginous_crop,Culture de Protéagineux,Proteaginous crop,short_cycle_crop,proteaginous_crop,fabaceae
pumpkin_crop,Culture de Citrouille,Pumpkin crop,short_cycle_crop,gardening_crop,cucurbita_pepo_pepo
purslane_crop,Culture de Pourpier,Purslane crop,short_cycle_crop,crop,portulaca_oleracea
quince_crop,Culture de Cognassier,Quince crop,perennial_crop,fruit_crop,cydonia_oblonga
quinoa_crop,Culture de Quinoa,Quinoa crop,short_cycle_crop,cereal_crop,chenopodium_quinoa
radish_crop,Culture de Radis,Radish crop,short_cycle_crop,gardening_crop,raphanus_sativus
rape_crop,Culture de Colza,Rapeseed crop,short_cycle_crop,oleaginous_crop,brassica_napus_napus
raspberry_crop,Culture de Framboisier,Raspberry crop,perennial_crop,fruit_crop,rubus_idaeus
red_kuri_crop,Culture de Potimarron,Red kuri crop,short_cycle_crop,gardening_crop,cucurbita_maxima
redcurrant_crop,Culture de Groseiller,Redcurrant crop,perennial_crop,fruit_crop,ribes
rhubarb_crop,Culture de Rhubarbe,Rhubarb crop,perennial_crop,gardening_crop,rheum_rhabarbarum
rice_crop,Culture de Riz,Rice crop,short_cycle_crop,cereal_crop,oryza_sativa
rocket_crop,Culture de Roquette,Rocket crop,short_cycle_crop,gardening_crop,eruca_vesicaria
root_chicory_crop,Culture de Chicorée industrielle,Root chicory crop,short_cycle_crop,gardening_crop,cichorium_intybus_sativum
rosemary_crop,Culture de Romarin,Rosemary crop,perennial_crop,crop,salvia_rosmarinus
rough_bluegrass_crop,Culture de Paturin commun,Rough bluegrass crop,perennial_crop,crop,poa_trivialis
rutabaga_crop,Culture de Rutabaga,Rutabaga crop,short_cycle_crop,gardening_crop,brassica_napus_rapifera
rye_crop,Culture de Seigle,Rye crop,short_cycle_crop,cereal_crop,secale_cereale
ryegrass_crop,Culture de Ray-grass,Ryegrass crop,short_cycle_crop,crop,lolium
sage_crop,Culture de Sauge,Sage crop,short_cycle_crop,crop,salvia
