Commune 2020;Libellé;Annee;Nb. Contrats
02048;Barenton-sur-Serre;2018;N/A - secret statistique
02049;Barisis-aux-Bois;2018;28
02050;Barzy-en-Thiérache;2018;N/A - secret statistique
02051;Barzy-sur-Marne;2018;38
02052;Bassoles-Aulers;2018;N/A - secret statistique
02053;Vallées en Champagne;2018;31
02054;Bazoches-sur-Vesles;2018;N/A - secret statistique
02055;Beaumé;2018;0
02056;Beaumont-en-Beine;2018;N/A - secret statistique
02057;Beaurevoir;2018;8
02058;Beaurieux;2018;N/A - secret statistique
02059;Beautor;2018;
02060;Beauvois-en-Vermandois;2018;6
02061;Becquigny;2018;N/A - secret statistique
02062;Belleau;2018;N/A - secret statistique
02063;Bellenglise;2018;N/A - secret statistique
02064;Belleu;2018;13
02065;Bellicourt;2018;N/A - secret statistique
02066;Benay;2018;N/A - secret statistique
02067;Bergues-sur-Sambre;2018;N/A - secret statistique
02068;Berlancourt;2018;N/A - secret statistique
02069;Berlise;2018;0
02070;Bernot;2018;6
02071;Berny-Rivière;2018;6
02072;Berrieux;2018;0
02073;Berry-au-Bac;2018;N/A - secret statistique
02074;Bertaucourt-Epourdon;2018;N/A - secret statistique
02075;Berthenicourt;2018;N/A - secret statistique
02076;Bertricourt;2018;N/A - secret statistique
02077;Berzy-le-Sec;2018;N/A - secret statistique
02078;Besmé;2018;
02079;Besmont;2018;N/A - secret statistique
02080;Besny-et-Loizy;2018;N/A - secret statistique
02081;Béthancourt-en-Vaux;2018;
02082;Beugneux;2018;N/A - secret statistique
02083;Beuvardes;2018;6
02084;Bézu-le-Guéry;2018;8
02085;Bézu-Saint-Germain;2018;N/A - secret statistique
02086;Bichancourt;2018;N/A - secret statistique
02087;Bieuxy;2018;N/A - secret statistique
02088;Bièvres;2018;
02089;Billy-sur-Aisne;2018;169
02090;Billy-sur-Ourcq;2018;N/A - secret statistique
02091;Blanzy-lès-Fismes;2018;N/A - secret statistique
02093;Blérancourt;2018;N/A - secret statistique
02094;Blesmes;2018;33
02095;Bohain-en-Vermandois;2018;39
02096;Bois-lès-Pargny;2018;0
02097;Boncourt;2018;8
02098;Bonneil;2018;25
02099;Bonnesvalyn;2018;N/A - secret statistique
02100;Bony;2018;6
02101;Bosmont-sur-Serre;2018;N/A - secret statistique
02102;Bouconville-Vauclair;2018;15
02103;Boué;2018;N/A - secret statistique
02104;Bouffignereux;2018;
02105;Bouresches;2018;N/A - secret statistique
02106;Bourg-et-Comin;2018;
02107;Bourguignon-sous-Coucy;2018;N/A - secret statistique
02108;Bourguignon-sous-Montbavin;2018;
02109;La Bouteille;2018;N/A - secret statistique
02110;Braine;2018;85
02111;Brancourt-en-Laonnois;2018;
02112;Brancourt-le-Grand;2018;N/A - secret statistique
02114;Brasles;2018;36
02115;Braye-en-Laonnois;2018;6
02116;Braye-en-Thiérache;2018;
02117;Bray-Saint-Christophe;2018;
02118;Braye;2018;
02119;Brécy;2018;N/A - secret statistique
02120;Brenelle;2018;N/A - secret statistique
02121;Breny;2018;N/A - secret statistique
02122;Brie;2018;N/A - secret statistique
02123;Brissay-Choigny;2018;N/A - secret statistique
02124;Brissy-Hamégicourt;2018;
02125;Brumetz;2018;N/A - secret statistique
02126;Brunehamel;2018;N/A - secret statistique
