Commune 2020;Libellé;Annee;retraités non-salariés agricoles;retraités salariés agricoles
01284;Ozan;2019;29;33
01285;Parcieux;2019;9;24
01286;Parves et Nattages;2019;30;36
01288;Péron;2019;32;26
01289;Péronnas;2019;100;366
01290;Pérouges;2019;32;50
01291;Perrex;2019;32;62
01293;Peyriat;2019;7;11
01294;Peyrieu;2019;30;39
01295;Peyzieux-sur-Saône;2019;12;13
01296;Pirajoux;2019;32;32
01297;Pizay;2019;25;27
01298;Plagne;2019;6;6
01299;Le Plantay;2019;20;22
01301;Polliat;2019;93;204
01302;Pollieu;2019;N/A - secret statistique;6
01303;Poncin;2019;52;70
01304;Pont-d'Ain;2019;34;87
01305;Pont-de-Vaux;2019;136;171
01306;Pont-de-Veyle;2019;65;111
01307;Port;2019;12;56
01308;Pougny;2019;N/A - secret statistique;12
01309;Pouillat;2019;N/A - secret statistique;N/A - secret statistique
01310;Prémeyzel;2019;7;8
01311;Prémillieu;2019;N/A - secret statistique;N/A - secret statistique
01313;Prévessin-Moëns;2019;22;38
01314;Priay;2019;33;58
01317;Ramasse;2019;14;15
01318;Rancé;2019;16;18
01319;Relevant;2019;34;28
01320;Replonges;2019;102;200
01321;Revonnas;2019;16;39
01322;Reyrieux;2019;57;118
01323;Reyssouze;2019;47;71
01325;Rignieux-le-Franc;2019;33;34
01328;Romans;2019;23;40
01329;Rossillon;2019;N/A - secret statistique;N/A - secret statistique
01330;Ruffieu;2019;16;7
01331;Saint-Alban;2019;18;8
01332;Saint-André-de-Bâgé;2019;22;41
01333;Saint-André-de-Corcy;2019;42;97
01334;Saint-André-d'Huiriat;2019;29;45
01335;Saint-André-le-Bouchoux;2019;19;29
01336;Saint-André-sur-Vieux-Jonc;2019;63;84
01337;Saint-Bénigne;2019;75;90
01338;Groslée-Saint-Benoit;2019;52;64
01339;Saint-Bernard;2019;14;36
01342;Sainte-Croix;2019;12;10
01343;Saint-Cyr-sur-Menthon;2019;63;108
01344;Saint-Denis-lès-Bourg;2019;113;323
01345;Saint-Denis-en-Bugey;2019;11;43
01346;Saint-Didier-d'Aussiat;2019;57;57
01347;Saint-Didier-de-Formans;2019;27;48
01348;Saint-Didier-sur-Chalaronne;2019;83;158
01349;Saint-Éloi;2019;18;17
01350;Saint-Étienne-du-Bois;2019;125;203
01351;Saint-Étienne-sur-Chalaronne;2019;43;77
01352;Saint-Étienne-sur-Reyssouze;2019;38;35
01353;Sainte-Euphémie;2019;8;31
01354;Saint-Genis-Pouilly;2019;27;93
01355;Saint-Genis-sur-Menthon;2019;23;31
01356;Saint-Georges-sur-Renon;2019;9;11
01357;Saint-Germain-de-Joux;2019;N/A - secret statistique;23
01358;Saint-Germain-les-Paroisses;2019;20;17
01359;Saint-Germain-sur-Renon;2019;15;16
01360;Saint-Jean-de-Gonville;2019;22;18
01361;Saint-Jean-de-Niost;2019;18;31
01362;Saint-Jean-de-Thurigneux;2019;23;21
01363;Saint-Jean-le-Vieux;2019;37;58
01364;Saint-Jean-sur-Reyssouze;2019;82;43
01365;Saint-Jean-sur-Veyle;2019;51;93
01366;Sainte-Julie;2019;23;30
01367;Saint-Julien-sur-Reyssouze;2019;42;45
01368;Saint-Julien-sur-Veyle;2019;34;42
01369;Saint-Just;2019;14;46
01370;Saint-Laurent-sur-Saône;2019;27;85
01371;Saint-Marcel;2019;15;29
01372;Saint-Martin-de-Bavel;2019;23;14
01373;Saint-Martin-du-Frêne;2019;22;71
01374;Saint-Martin-du-Mont;2019;73;116
01375;Saint-Martin-le-Châtel;2019;55;51
01376;Saint-Maurice-de-Beynost;2019;20;55
01378;Saint-Maurice-de-Gourdans;2019;40;71
01379;Saint-Maurice-de-Rémens;2019;20;24
01380;Saint-Nizier-le-Bouchoux;2019;63;72
01381;Saint-Nizier-le-Désert;2019;29;43
01382;Sainte-Olive;2019;9;16
01383;Saint-Paul-de-Varax;2019;44;103
01384;Saint-Rambert-en-Bugey;2019;32;74
01385;Saint-Rémy;2019;30;61
01386;Saint-Sorlin-en-Bugey;2019;20;28
01387;Saint-Sulpice;2019;9;11
01388;Saint-Trivier-de-Courtes;2019;120;142
01389;Saint-Trivier-sur-Moignans;2019;90;118
01390;Saint-Vulbas;2019;18;25
01391;Salavre;2019;16;26
01392;Samognat;2019;9;9
01393;Sandrans;2019;25;24
01396;Sault-Brénaz;2019;N/A - secret statistique;34
01397;Sauverny;2019;10;12
01398;Savigneux;2019;47;49
01399;Ségny;2019;7;17
01400;Seillonnaz;2019;12;8
01401;Sergy;2019;21;18
01402;Sermoyer;2019;37;38
01403;Serrières-de-Briord;2019;18;60
01404;Serrières-sur-Ain;2019;N/A - secret statistique;6
01405;Servas;2019;35;80
01406;Servignat;2019;18;19
01407;Seyssel;2019;8;28
01408;Simandre-sur-Suran;2019;27;38
01410;Sonthonnax-la-Montagne;2019;8;9
01411;Souclin;2019;19;17
01412;Sulignat;2019;22;37
01415;Talissieu;2019;10;22
01416;Tenay;2019;7;41
01418;Thil;2019;11;13
01419;Thoiry;2019;46;43
01420;Thoissey;2019;50;100
01421;Torcieu;2019;7;23
01422;Tossiat;2019;34;63
01423;Toussieux;2019;12;18
01424;Tramoyes;2019;31;39
01425;La Tranclière;2019;19;20
01426;Val-Revermont;2019;75;144
01427;Trévoux;2019;36;162
01428;Valeins;2019;8;6
01429;Vandeins;2019;28;48
01430;Varambon;2019;12;20
01431;Vaux-en-Bugey;2019;19;30
01432;Verjon;2019;16;18
01433;Vernoux;2019;17;10
01434;Versailleux;2019;16;21
01435;Versonnex;2019;6;18
01436;Vesancy;2019;9;17
01437;Vescours;2019;25;13
01439;Vésines;2019;11;7
01441;Vieu-d'Izenave;2019;22;33
01443;Villars-les-Dombes;2019;145;316
01444;Villebois;2019;6;31
01445;Villemotier;2019;36;43
01446;Villeneuve;2019;50;66
01447;Villereversure;2019;64;103
01448;Villes;2019;N/A - secret statistique;9
01449;Villette-sur-Ain;2019;18;22
01450;Villieu-Loyes-Mollon;2019;32;73
01451;Viriat;2019;168;401
01452;Virieu-le-Grand;2019;9;28
01453;Arvière-en-Valromey;2019;53;38
01454;Virignin;2019;15;20
01456;Vongnes;2019;9;7
01457;Vonnas;2019;127;225
02001;Abbécourt;2019;8;22
02002;Achery;2019;16;40
02003;Acy;2019;15;70
02004;Agnicourt-et-Séchelles;2019;18;21
02005;Aguilcourt;2019;7;21
02006;Aisonville-et-Bernoville;2019;9;18
02007;Aizelles;2019;N/A - secret statistique;8
02008;Aizy-Jouy;2019;6;21
02009;Alaincourt;2019;8;14
02010;Allemant;2019;N/A - secret statistique;15
02011;Ambleny;2019;8;88
02012;Ambrief;2019;0;6
02013;Amifontaine;2019;13;27
02014;Amigny-Rouy;2019;14;22
02015;Ancienville;2019;0;N/A - secret statistique
02016;Andelain;2019;N/A - secret statistique;N/A - secret statistique
02017;Anguilcourt-le-Sart;2019;7;18
02018;Anizy-le-Grand;2019;19;150
02019;Annois;2019;13;21
02020;Any-Martin-Rieux;2019;39;28
02021;Archon;2019;13;N/A - secret statistique
02022;Arcy-Sainte-Restitue;2019;8;30
02023;Armentières-sur-Ourcq;2019;6;N/A - secret statistique
02024;Arrancy;2019;N/A - secret statistique;N/A - secret statistique
02025;Artemps;2019;N/A - secret statistique;16
02027;Assis-sur-Serre;2019;8;26
02028;Athies-sous-Laon;2019;27;166
02029;Attilly;2019;9;19
02030;Aubencheul-aux-Bois;2019;10;19
02031;Aubenton;2019;48;47
02032;Aubigny-aux-Kaisnes;2019;N/A - secret statistique;27
02033;Aubigny-en-Laonnois;2019;N/A - secret statistique;6
02034;Audignicourt;2019;N/A - secret statistique;7
02035;Audigny;2019;8;17
02036;Augy;2019;N/A - secret statistique;N/A - secret statistique
02037;Aulnois-sous-Laon;2019;18;85
02038;Les Autels;2019;8;9
02039;Autremencourt;2019;N/A - secret statistique;11
02040;Autreppes;2019;12;8
02041;Autreville;2019;8;35
02042;Azy-sur-Marne;2019;9;15
02043;Bagneux;2019;N/A - secret statistique;6
02044;Bancigny;2019;N/A - secret statistique;N/A - secret statistique
02046;Barenton-Bugny;2019;N/A - secret statistique;46
02047;Barenton-Cel;2019;N/A - secret statistique;15
02048;Barenton-sur-Serre;2019;N/A - secret statistique;7
02049;Barisis-aux-Bois;2019;18;56
02050;Barzy-en-Thiérache;2019;21;18
02051;Barzy-sur-Marne;2019;18;21
02052;Bassoles-Aulers;2019;N/A - secret statistique;14
02053;Vallées en Champagne;2019;47;48
02054;Bazoches-sur-Vesles;2019;7;30
02055;Beaumé;2019;9;9
02056;Beaumont-en-Beine;2019;N/A - secret statistique;12
02057;Beaurevoir;2019;27;89
02058;Beaurieux;2019;15;43
02059;Beautor;2019;12;106
02060;Beauvois-en-Vermandois;2019;11;24
02061;Becquigny;2019;7;N/A - secret statistique
02062;Belleau;2019;0;7
02063;Bellenglise;2019;N/A - secret statistique;9
02064;Belleu;2019;15;229
02065;Bellicourt;2019;6;24
02066;Benay;2019;N/A - secret statistique;6
02067;Bergues-sur-Sambre;2019;13;17
02068;Berlancourt;2019;8;9
02069;Berlise;2019;13;15
02070;Bernot;2019;17;27
02071;Berny-Rivière;2019;N/A - secret statistique;67
02072;Berrieux;2019;7;17
02073;Berry-au-Bac;2019;7;30
02074;Bertaucourt-Epourdon;2019;7;29
02075;Berthenicourt;2019;N/A - secret statistique;8
02076;Bertricourt;2019;N/A - secret statistique;N/A - secret statistique
02077;Berzy-le-Sec;2019;N/A - secret statistique;23
02078;Besmé;2019;N/A - secret statistique;11
02079;Besmont;2019;21;16
02080;Besny-et-Loizy;2019;N/A - secret statistique;29
02081;Béthancourt-en-Vaux;2019;14;17
02082;Beugneux;2019;N/A - secret statistique;7
02083;Beuvardes;2019;14;46
02084;Bézu-le-Guéry;2019;7;8
02085;Bézu-Saint-Germain;2019;9;19
02086;Bichancourt;2019;11;43
02087;Bieuxy;2019;N/A - secret statistique;N/A - secret statistique
02088;Bièvres;2019;N/A - secret statistique;N/A - secret statistique
02089;Billy-sur-Aisne;2019;10;94
02090;Billy-sur-Ourcq;2019;6;10
02091;Blanzy-lès-Fismes;2019;N/A - secret statistique;15
02093;Blérancourt;2019;14;111
02094;Blesmes;2019;6;24
02095;Bohain-en-Vermandois;2019;54;263
02096;Bois-lès-Pargny;2019;0;13
02097;Boncourt;2019;14;22
02098;Bonneil;2019;27;22
02099;Bonnesvalyn;2019;N/A - secret statistique;8
02100;Bony;2019;6;N/A - secret statistique
02101;Bosmont-sur-Serre;2019;10;20
02102;Bouconville-Vauclair;2019;6;22
02103;Boué;2019;43;68
02104;Bouffignereux;2019;N/A - secret statistique;N/A - secret statistique
02105;Bouresches;2019;7;17
02106;Bourg-et-Comin;2019;13;48
02107;Bourguignon-sous-Coucy;2019;8;9
02108;Bourguignon-sous-Montbavin;2019;N/A - secret statistique;6
02109;La Bouteille;2019;33;24
02110;Braine;2019;34;202
02111;Brancourt-en-Laonnois;2019;N/A - secret statistique;21
02112;Brancourt-le-Grand;2019;17;27
02114;Brasles;2019;29;85
02115;Braye-en-Laonnois;2019;7;26
02116;Braye-en-Thiérache;2019;13;14
02117;Bray-Saint-Christophe;2019;N/A - secret statistique;N/A - secret statistique
02118;Braye;2019;N/A - secret statistique;9
02119;Brécy;2019;13;16
02120;Brenelle;2019;N/A - secret statistique;19
02121;Breny;2019;6;19
02122;Brie;2019;0;7
02123;Brissay-Choigny;2019;15;21
02124;Brissy-Hamégicourt;2019;23;30
02125;Brumetz;2019;N/A - secret statistique;6
02126;Brunehamel;2019;27;46
02127;Bruyères-sur-Fère;2019;7;20
02128;Bruyères-et-Montbérault;2019;20;95
02129;Bruys;2019;;
02130;Bucilly;2019;18;15
02131;Bucy-le-Long;2019;18;109
02132;Bucy-lès-Cerny;2019;N/A - secret statistique;16
02133;Bucy-lès-Pierrepont;2019;9;35
02134;Buire;2019;15;33
02135;Buironfosse;2019;40;73
02136;Burelles;2019;8;13
02137;Bussiares;2019;N/A - secret statistique;6
02138;Buzancy;2019;N/A - secret statistique;8
02139;Caillouël-Crépigny;2019;9;22
02140;Camelin;2019;18;50
02141;La Capelle;2019;77;125
02142;Castres;2019;N/A - secret statistique;10
02143;Le Catelet;2019;N/A - secret statistique;12
02144;Caulaincourt;2019;N/A - secret statistique;N/A - secret statistique
02145;Caumont;2019;9;17
02146;Celles-lès-Condé;2019;N/A - secret statistique;N/A - secret statistique
02148;Celles-sur-Aisne;2019;6;18
02149;Cerizy;2019;N/A - secret statistique;6
02150;Cerny-en-Laonnois;2019;0;N/A - secret statistique
02151;Cerny-lès-Bucy;2019;N/A - secret statistique;8
02152;Cerseuil;2019;N/A - secret statistique;N/A - secret statistique
02153;Cessières-Suzy;2019;15;51
02154;Chacrise;2019;N/A - secret statistique;28
02155;Chaillevois;2019;N/A - secret statistique;8
02156;Chalandry;2019;N/A - secret statistique;19
02157;Chambry;2019;9;53
02158;Chamouille;2019;N/A - secret statistique;14
02159;Champs;2019;11;21
02160;Chaourse;2019;21;48
02162;La Chapelle-sur-Chézy;2019;11;15
02163;Charly-sur-Marne;2019;93;131
02164;Le Charmel;2019;10;19
02165;Charmes;2019;11;65
02166;Chartèves;2019;N/A - secret statistique;16
02167;Chassemy;2019;7;37
02168;Château-Thierry;2019;144;681
02169;Châtillon-lès-Sons;2019;6;9
02170;Châtillon-sur-Oise;2019;N/A - secret statistique;15
02171;Chaudardes;2019;N/A - secret statistique;7
02172;Chaudun;2019;N/A - secret statistique;16
02173;Chauny;2019;50;444
02174;Chavignon;2019;17;47
02175;Chavigny;2019;11;12
02176;Chavonne;2019;N/A - secret statistique;9
02177;Chérêt;2019;6;8
02178;Chermizy-Ailles;2019;7;N/A - secret statistique
02179;Chéry-Chartreuve;2019;13;17
02180;Chéry-lès-Pouilly;2019;9;58
02181;Chéry-lès-Rozoy;2019;N/A - secret statistique;6
02182;Chevennes;2019;8;11
02183;Chevregny;2019;N/A - secret statistique;11
