Commune 2020;Libellé;Annee;Nb. chefs d'exploit. ou d'entr. Agricole
01363;Saint-Jean-le-Vieux;2019;N/A - secret statistique
01364;Saint-Jean-sur-Reyssouze;2019;26
01365;Saint-Jean-sur-Veyle;2019;12
01366;Sainte-Julie;2019;N/A - secret statistique
01367;Saint-Julien-sur-Reyssouze;2019;7
01368;Saint-Julien-sur-Veyle;2019;6
01369;Saint-Just;2019;6
01370;Saint-Laurent-sur-Saône;2019;
01371;Saint-Marcel;2019;15
01372;Saint-Martin-de-Bavel;2019;N/A - secret statistique
01373;Saint-Martin-du-Frêne;2019;6
01374;Saint-Martin-du-Mont;2019;25
01375;Saint-Martin-le-Châtel;2019;11
01376;Saint-Maurice-de-Beynost;2019;N/A - secret statistique
01378;Saint-Maurice-de-Gourdans;2019;20
01379;Saint-Maurice-de-Rémens;2019;8
01380;Saint-Nizier-le-Bouchoux;2019;31
01381;Saint-Nizier-le-Désert;2019;15
01382;Sainte-Olive;2019;11
01383;Saint-Paul-de-Varax;2019;26
01384;Saint-Rambert-en-Bugey;2019;7
01385;Saint-Rémy;2019;9
01386;Saint-Sorlin-en-Bugey;2019;6
01387;Saint-Sulpice;2019;N/A - secret statistique
01388;Saint-Trivier-de-Courtes;2019;19
01389;Saint-Trivier-sur-Moignans;2019;50
01390;Saint-Vulbas;2019;7
01391;Salavre;2019;6
01392;Samognat;2019;N/A - secret statistique
01393;Sandrans;2019;25
01396;Sault-Brénaz;2019;N/A - secret statistique
01397;Sauverny;2019;
01398;Savigneux;2019;24
01399;Ségny;2019;N/A - secret statistique
01400;Seillonnaz;2019;9
01401;Sergy;2019;7
01402;Sermoyer;2019;12
01403;Serrières-de-Briord;2019;N/A - secret statistique
01404;Serrières-sur-Ain;2019;N/A - secret statistique
01405;Servas;2019;6
01406;Servignat;2019;8
01407;Seyssel;2019;N/A - secret statistique
01408;Simandre-sur-Suran;2019;12
01410;Sonthonnax-la-Montagne;2019;6
01411;Souclin;2019;N/A - secret statistique
01412;Sulignat;2019;14
01415;Talissieu;2019;N/A - secret statistique
01416;Tenay;2019;N/A - secret statistique
01418;Thil;2019;N/A - secret statistique
01419;Thoiry;2019;18
01420;Thoissey;2019;N/A - secret statistique
01421;Torcieu;2019;6
01422;Tossiat;2019;6
01423;Toussieux;2019;N/A - secret statistique
01424;Tramoyes;2019;10
01425;La Tranclière;2019;13
01426;Val-Revermont;2019;19
01427;Trévoux;2019;6
01428;Valeins;2019;N/A - secret statistique
01429;Vandeins;2019;10
01430;Varambon;2019;6
01431;Vaux-en-Bugey;2019;6
01432;Verjon;2019;N/A - secret statistique
01433;Vernoux;2019;8
01434;Versailleux;2019;11
01435;Versonnex;2019;N/A - secret statistique
01436;Vesancy;2019;7
01437;Vescours;2019;8
01439;Vésines;2019;N/A - secret statistique
01441;Vieu-d'Izenave;2019;12
01443;Villars-les-Dombes;2019;18
01444;Villebois;2019;N/A - secret statistique
01445;Villemotier;2019;20
01446;Villeneuve;2019;30
01447;Villereversure;2019;12
01448;Villes;2019;N/A - secret statistique
01449;Villette-sur-Ain;2019;12
01450;Villieu-Loyes-Mollon;2019;22
01451;Viriat;2019;47
01452;Virieu-le-Grand;2019;
01453;Arvière-en-Valromey;2019;14
01454;Virignin;2019;N/A - secret statistique
01456;Vongnes;2019;N/A - secret statistique
01457;Vonnas;2019;18
02001;Abbécourt;2019;N/A - secret statistique
02002;Achery;2019;N/A - secret statistique
02003;Acy;2019;7
02004;Agnicourt-et-Séchelles;2019;12
02005;Aguilcourt;2019;8
02006;Aisonville-et-Bernoville;2019;N/A - secret statistique
02007;Aizelles;2019;N/A - secret statistique
02008;Aizy-Jouy;2019;10
02009;Alaincourt;2019;N/A - secret statistique
02010;Allemant;2019;N/A - secret statistique
02011;Ambleny;2019;N/A - secret statistique
02012;Ambrief;2019;N/A - secret statistique
